"","taxon","P","FC","Change","label"
"1","14-2",0.329434622612998,0.763641952952049,"Nosig",""
"2","1XD42-69",0.267519279707095,1.56277512508537,"Nosig",""
"3","Acetatifactor",0.00805076283748371,2.70431328981694,"UP","Acetatifactor"
"4","Acetitomaculum",0.353268967587248,0.758337741538313,"Nosig",""
"5","Acutalibacter",0.000238799701271976,0.659451980723553,"Nosig",""
"6","Acutalibacteraceae_genus_no_rank",0.437674601619592,1.62127417394882,"Nosig",""
"7","Adlercreutzia_404199",0.203725102325821,0.811178956850329,"Nosig",""
"8","Adlercreutzia_404218",0.291334154249119,0.813284603396192,"Nosig",""
"9","Adlercreutzia_404257",0.101959781807296,0.318353726532831,"Nosig",""
"10","Akkermansia",0.00737944829945928,5.22088170698484,"UP","Akkermansia"
"11","Alistipes_A_871400",0.00199098939229627,0.447523886394924,"DOWN","Alistipes_A_871400"
"12","Alistipes_A_871404",0.269588979792332,0.523732292516056,"Nosig",""
"13","Anaerotignaceae_genus_no_rank",0.779250048111029,0.964195897935891,"Nosig",""
"14","Anaerotruncus",0.810160272080754,0.949382142519144,"Nosig",""
"15","Anaerovoracaceae_genus_no_rank",0.253770376168681,0.870446411682406,"Nosig",""
"16","Angelakisella",0.394080743852473,1.16895074290433,"Nosig",""
"17","Avispirillum",0.0729659137677701,0.345214296946249,"Nosig",""
"18","Bacteroides_H",6.73098030488192e-08,0.221989375564672,"DOWN","Bacteroides_H"
"19","Bariatricus",0.740010568661416,0.822224468409526,"Nosig",""
"20","Bifidobacterium_388775",0.0562836080459268,0.519062655697287,"Nosig",""
"21","Bilophila",0.0024132224510029,0.403174831611707,"DOWN","Bilophila"
"22","Borkfalkia",0.881264036120132,0.958236554162819,"Nosig",""
"23","Borkfalkiaceae_genus_no_rank",0.815129548773816,0.926213087794407,"Nosig",""
"24","Butyribacter",0.0844815449588207,0.484086546353813,"Nosig",""
"25","Butyricicoccus_A_77030",0.293418813278984,0.783589547666275,"Nosig",""
"26","BX12",0.0791382970026925,0.701674977002058,"Nosig",""
"27","C-19",0,0.186228189720524,"DOWN","C-19"
"28","C-53",0.607419888807155,0.621560585844474,"Nosig",""
"29","CAG-269",0.21772420616267,0.681634831514246,"Nosig",""
"30","CAG-314",0.908992918817766,1.05146286605587,"Nosig",""
"31","CAG-41",0.671425836017252,0.676723653097609,"Nosig",""
"32","CAG-485",4.35876392521196e-05,0.35872703075453,"DOWN","CAG-485"
"33","CAG-508_genus_no_rank",0.202277341674355,2.8123358732997,"Nosig",""
"34","CAG-552_genus_no_rank",0.69859618232981,1.13120038381405,"Nosig",""
"35","CAG-56",0.807162438973691,1.26646183399094,"Nosig",""
"36","CAG-873",1.37711387939404e-05,2.58169362539461,"UP","CAG-873"
"37","CAG-95",0.663380619706139,1.11019697699469,"Nosig",""
"38","Christensenellales_family_no_rank_genus_no_rank",0,0.443085894258697,"DOWN","Christensenellales_family_no_rank_genus_no_rank"
"39","Clostridia_258483_order_no_rank_family_no_rank_genus_no_rank",0.417846373832866,0.60805128925656,"Nosig",""
"40","Clostridium_AP",0,1.32630984813617,"Nosig",""
"41","Clostridium_Q_134526",0.544830197875766,1.1333833043436,"Nosig",""
"42","Clostridium_T",0.164353512591845,1.86445950076102,"Nosig",""
"43","COE1",0.823005209801758,1.07444361924794,"Nosig",""
"44","Coprobacillaceae_genus_no_rank",0.190156484687976,1.81981873016168,"Nosig",""
"45","Coprocola",0.974381383150539,1.01641628106965,"Nosig",""
"46","Copromonas",0.522602396933971,0.664997351374245,"Nosig",""
"47","Cryptobacteroides",0.00489888740362306,0.369632713728984,"DOWN","Cryptobacteroides"
"48","D16-34",0.166990244664171,1.93884954798752,"Nosig",""
"49","Dehalobacteriaceae_genus_no_rank",0.439552287034574,0.828074849262751,"Nosig",""
"50","Desulfovibrio_R_446353",0.425959084541608,0.712760869047283,"Nosig",""
"51","Dubosiella",0.166112121784972,1.56817379207284,"Nosig",""
"52","Duncaniella",0.221368022677272,1.36485357141257,"Nosig",""
"53","Dysosmobacter",0.00268903993440219,0.666174904919662,"Nosig",""
"54","Eggerthellaceae_genus_no_rank",0.121970410063834,0.622901748722663,"Nosig",""
"55","Emergencia",0.764582929642558,0.870746367981457,"Nosig",""
"56","Enterenecus",0.0176673341814388,0.601548120363352,"Nosig",""
"57","Enterocloster",0.70078726238492,0.928485368877535,"Nosig",""
"58","Enteroscipio",0,1.14641396256183,"Nosig",""
"59","Erysipelatoclostridium",0.706933142035087,1.23611034494983,"Nosig",""
"60","Eubacterium_F",0.811599693064366,1.04753660902815,"Nosig",""
"61","Eubacterium_G",0.386134015340711,1.25915643788047,"Nosig",""
"62","Eubacterium_J",0.559138523627766,1.29191458011571,"Nosig",""
"63","Eubacterium_R",0.0475497906589526,0.211999175448279,"DOWN","Eubacterium_R"
"64","Eubacterium_S",0.00259936163018335,3.60069779162605,"UP","Eubacterium_S"
"65","Evtepia",0.00158781835345928,0.685080969156026,"Nosig",""
"66","Faecalibaculum",2.38312393728456e-05,0.332445485712188,"DOWN","Faecalibaculum"
"67","Faecousia",0.612966637176871,1.37677089357026,"Nosig",""
"68","Fimenecus",0.0791030958721175,3.21351264082684,"Nosig",""
"69","Harryflintia",0.23898253599412,0.527537728742945,"Nosig",""
"70","Holdemania",0,1.20272015704052,"Nosig",""
"71","Intestinimonas",0.719184701874546,0.778287639541389,"Nosig",""
"72","Kineothrix",0.250102670098681,0.774962414955919,"Nosig",""
"73","Lachnoclostridium_B",0.261891202821408,0.42043763592778,"Nosig",""
"74","Lachnospira",0,2.47315625157321,"UP","Lachnospira"
"75","Lachnospiraceae_genus_no_rank",0.0430206705965099,0.634831125519487,"Nosig",""
"76","Lactobacillus",0.133120212008904,0.579913514363943,"Nosig",""
"77","Lawsonibacter",0.476795919020742,0.889435511397759,"Nosig",""
"78","Ligilactobacillus",0.00719490788393162,0.349060264829021,"DOWN","Ligilactobacillus"
"79","Limivicinus",0.0933074713844964,0.745436216676551,"Nosig",""
"80","Limosilactobacillus",0.339609938100848,0.737842557196858,"Nosig",""
"81","Luxibacter",0.668121436206749,1.33332902733297,"Nosig",""
"82","Mailhella",0.004119763751358,0.214921572595373,"DOWN","Mailhella"
"83","Massilioclostridium",0.385295569988129,0.765528537463101,"Nosig",""
"84","MD308",0.926844826043305,1.08071061228786,"Nosig",""
"85","Merdibacter",0,0.368950170405707,"DOWN","Merdibacter"
"86","Merdisoma",0.0236544103952894,1.61853674004911,"Nosig",""
"87","Mucispirillum",0.677064575493006,1.20042717144084,"Nosig",""
"88","Muribaculaceae_genus_no_rank",0.407754340032115,1.22878307696101,"Nosig",""
"89","Muribaculum",0.410467462180063,1.31001805309225,"Nosig",""
"90","Nanosyncoccus",0,5.43624470682159,"UP","Nanosyncoccus"
"91","NM07-P-09",0.238300452434492,0.584898080394984,"Nosig",""
"92","Odoribacter_865974",0.020377419404097,0.298557543007618,"DOWN","Odoribacter_865974"
"93","Oribacterium",0.89381142562807,1.0530651439501,"Nosig",""
"94","Oscillospiraceae_88309_genus_no_rank",0.151075210081571,0.806234843485087,"Nosig",""
