Taxa	Kingdom	Phylum	Class	Order	Family	Genus	Species
3af64985583451cceeb3901d043bfd73	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp002491305
a57944ffff8ec2097b06e45a616f907d	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus pleomorphus
a69c0a328e1b282389062478c5d49c3a	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp900547755
7d02f99e2ea00512b055a4e70f84c18b	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter_865974	Odoribacter laneus
54a43d2113c13203e813d22b17f3f370	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter_865974	Odoribacter splanchnicus
e127450ed2ad1088a651c6a3f8a405b3	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter_865974	Odoribacter splanchnicus
b2ce7f937c4d1e391758282974fcf514	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A_871400	NA
59058f537de50f2f55ed8833c3c1f4b5	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A_871400	Alistipes_A_871400 finegoldii
7a6a394fe7285b50ee54b56f316a3944	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A_871400	NA
4feb426703234389503a7b994773d50c	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A_871400	NA
5328bc3fa40912ff2a09f9a53ac20c93	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A_871400	Alistipes_A_871400 sp002362235
ce0c98486c0934c2f5922589f4883a46	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A_871400	Alistipes_A_871400 excrementavium
d27a7938be9be7fcde444b0d8a1e7f84	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A_871400	NA
9a13cbb8e1b12468bf22d6a05aafb0c0	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A_871400	NA
eb1d7f519ae360e6e68a2f1520785e5e	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A_871404	NA
0c10bc475287f99f197cfc1c2b50947f	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	NA	NA
84135a0b2ffd4bf0902d223d4ee001dc	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	NA	NA
b4c887fb290f7d9862494dc4ca31dafb	d__Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales_877923	Flavobacteriaceae	Planktosalinus	Planktosalinus lacus
bf7348b2028d96bee8686238f2bc5aa2	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp902787255
a6bfdb3176b2fc52c2e55ef46213f792	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp902787255
175fd341f343662e9f8d8ec2f6877ec0	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA7960	SKVR01	NA
6d1f1d8b1147f3c7f26586646547b4d5	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA7960	SKVR01	SKVR01 sp007693555
e4ef1c7b616eb842c0ff7a327e83bd76	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides_B_862066	Parabacteroides_B_862066 goldsteinii
fdbff060c0adc3184b21540df9bbbee1	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp902776665
b79395edd65d1a3436028915e53b329f	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp902776665
5292f29cab69c370997bcb039ef68d64	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_H	Bacteroides_H rodentium
f6b9f4774df15b2fdd3ba4af8805ff44	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_H	Bacteroides_H helcogenes
938fbbe51af86d1d7ebd6817a0f0bd24	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_H	NA
851c7990fae0a661eacab06f0e5e2775	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_H	Bacteroides_H acidifaciens
efa934e07029e49f4b1959b33c677589	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_H	NA
bf611493002f5918a68778bde2def567	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_H	NA
836cd5ea357ad392c00a7e48d921be1d	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_H	NA
9a76c2c2904fcae623e236b6818a712e	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides_B_862066	Parabacteroides_B_862066 distasonis
878fc53ff6f6333a92673b700951fa1b	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides_B_862066	Parabacteroides_B_862066 distasonis
6adfe2eb17f78d90fae7d4d8eb43b01a	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides_B_862066	Parabacteroides_B_862066 distasonis
ed78bbc1db0ff176088ec1eeb30cde95	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
a0814dbcfc36b32aa80e5af6bca83748	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	NA
c5debdac45aa28561acf34927c6e726d	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp004102805
72e530a4206f2e4804d502f4dfca8387	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp002491305
97fbd9fac072dc24ef7af2e143df17a1	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp002491305
1dde417c45171347b0ec07088aa49839	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp002491305
91c6bd1773aaec302882b43aff6babc4	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp002491305
53e1e28ac0e3549da38b9e58b4a27f3b	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp002491305
7d778ad679a7e22769f032c56e881c28	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp002491305
b9601452981d5393bd6c0ed100a35ff0	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
2eb2fe0471e37d54b5e1c47660220ad6	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp011959565
550dad848590f36ce1e9a8ce81c12f8a	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
11bd305099dce16ecd99f2cb50aa2e40	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
b00c3432b2ba4ccb41e22cbf1f9e336d	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp011959565
35fbbf467028ce4e6d97fd309461f30b	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp011959565
610fec3c1f64661f446a6e8270f23d0c	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp011959565
33ea9f7df7a02a6f06fb9700ed440401	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA3263	UBA3263 sp001689615
e7ad4c0767b33e0a46ee82dba4ad02f0	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
de689038d335b0e895f90f08f59c3ab1	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
19bb6fdfb210eda549aee95a652e0fdf	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
d3d0b6aba6f97f1ba77a412531587a84	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum gordoncarteri
d60593a75368eb2dd66ecbbec3313863	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum gordoncarteri
cb8b8a6ee6bcfa115f8b24a45fa1c12a	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum gordoncarteri
e1f3dca7a444e322745b21064cf6fbd2	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
c6cc193827dee5c035291d0d1d14b625	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp004102805
917d299eeca539b3dfba563baabc4b14	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella dubosii
029ac1f87abeae7dbac1ababc489cfec	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
9b5811da3588dc72c1fce3ea07d51eac	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum sp001689565
2bc5942b5fd0f8140d1eaf96be69ff40	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
b44aff2995f396f00ad579d8e6684335	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum intestinale
1930d2ae4018583d606e705beea31bd1	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella dubosii
8d16493f61b4859028a7a760a82751ce	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp002491305
0d29a1eb24f264423251f3b2a92f7914	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp002491305
0ebb2cf4a2017aeaefadf9ae5062eb62	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella muris
39f1b510d3d0f5a6d28609e5a26641a9	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella dubosii
3471f88cb44a7a8c95f6c7fe00ec8261	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
