Feature	NEEN.011	NEEN.012	NEEN.013	NEEN.014	NEEN.015	NEEN.016	NEEN.021	NEEN.022	NEEN.023	NEEN.024	NEEN.025	NEEN.026	NEEN.031	NEEN.032	NEEN.033	NEEN.034	NEEN.035	NEEN.036	NEEN.051	NEEN.052	NEEN.053	NEEN.054	NEEN.055	NEEN.056
Body weight (g)	30.2	31.1	34.3	36	43.9	43	34.9	29	32.9	37.7	29.7	35.1	32.6	33.5	36.1	32	36.7	32.5	32.9	31.3	32.4	30.8	34.6	34.8
Body weight loss (%)	-0.666666666666664	3.71517027863776	3.10734463276837	7.21649484536082	-3.78250591016549	-7.5	4.64480874316941	-2.83687943262412	-0.304878048780492	-3.00546448087432	1	4.0983606557377	6.59025787965615	2.33236151603498	3.98936170212766	5.32544378698224	4.92227979274611	6.87679083094556	5.45977011494252	9.53757225433526	5.26315789473685	6.09756097560975	6.73854447439353	4.91803278688526
Body weight loss (g)	-0.199999999999999	1.2	1.1	2.8	-1.6	-3	1.7	-0.800000000000001	-0.100000000000001	-1.1	0.300000000000001	1.5	2.3	0.799999999999997	1.5	1.8	1.9	2.4	1.9	3.3	1.8	2	2.5	1.8
Liver weight (mg)	1700	1480	1650	1780	2443	2197	1740	1360	1660	2010	1560	1730	1690	1890	1850	1690	1850	1620	1660	1380	1490	1740	1860	1700
MRI fat index	0.038152411434727	0.063507556648827	0.036071132951373	NA	0.1208	0.1448	NA	NA	0.068713368761831	0.097883894673317	0.072598786899012	NA	0.034029727901517	0.034552204691032	0.041943881084496	NA	NA	NA	NA	NA	NA	0.031695215785614	0.038252809798434	0.033571851504871
Reduction of MRI fat index	0.028847588565273	4.92443351173e-4	0.086928867048627	NA	0.072661064301562	0.041781581177433	NA	NA	0.182986631238169	0.172716105326683	0.064201213100988	NA	0.075970272098483	0.044447795308968	0.125056118915504	NA	NA	NA	NA	NA	NA	0.093804784214386	0.077247190201566	0.050728148495129
Reduction of MRI fat index (%)	43.0561023362284	0.769442736207816	70.6738756492902	NA	37.5584950718041	22.3931970743136	NA	NA	72.7002905197334	63.8270899211689	46.9307113311316	NA	69.0638837258936	56.2630320366684	74.883903542218	NA	NA	NA	NA	NA	NA	74.7448479795904	66.8806841572	60.1757396146251
Liver fat droplets (%)	0.483804271364914	0.513333998421105	1.36472819651031	5.64507905367706	15.8317156912995	16.055206500729	0.190987347472412	0.00961273293973355	5.15802737878978	5.90478011259218	1.34725264038232	6.22106583733325	0.025377941924602	0.223064775721339	0.848008161955743	0.0965363609928323	4.66149212162642	0.561938134124854	0.0305371022326311	0.104169982623579	0.122806259905856	0.102689817929084	0.365813205948971	0.326546172781276
Plasma_Formic acid	170.495674550198	144.243545255825	169.027988649133	126.891019614648	174.151078001146	172.173389392012	NA	153.373000499064	NA	290.842904536385	337.971800679316	219.828434944749	158.308422436973	190.516448262555	212.244838761695	126.425974688339	200.821825505102	243.054388154565	126.170623701876	209.780741179327	153.397712070424	221.570698839184	167.765194593049	132.551541937418
Plasma_Acetic acid	63.9158348093112	101.284236860687	56.3148412601316	66.4886765312919	100.054323563418	92.8374368004269	NA	72.6540676877545	NA	85.8898428661843	80.6852145524409	89.1202497165279	86.5202598354404	103.796311879871	104.104437208652	109.898327728686	67.0110737627677	127.063677358203	79.1480745370695	150.69530161456	69.123492482989	243.115246101851	110.269586833557	121.097537745268
